active_time	online_time	num_message	ave_message	ave_time_inter	median_time_inter	ave_message_reply	ratio_male_contact	most_used_platform	num_platform	num_short_time_inter	num_receiver_age	num_reply_message	num_reply_user	num_user_to	reply_percent	periodic_pvalue	userid_from	bot
25398	25398	200	20	127.628140703518	12	18	1	3	1	87	3	180	10	10	1	0.903778558866211	89076	0
7282	7282	261	5.5531914893617	28.0076923076923	18	11.5	1	9	1	70	2	138	12	47	0.25531914893617	0.828084747029855	115682	0
7822	22014	31	3.44444444444444	733.8	67	5.66666666666667	1	3	1	1	3	17	3	9	0.333333333333333	0.999999999983766	54483	0
2624	2624	57	8.14285714285714	46.8571428571429	17.5	7.71428571428571	0.142857142857143	9	1	16	3	54	7	7	1	0.793980709921437	99496	0
2187	2187	24	3	95.0869565217391	8	2.85714285714286	1	7	1	13	4	20	7	8	0.875	0.959924402043027	140186	0
28325	28325	253	11	112.400793650794	43	22.6666666666667	0.227272727272727	3	1	16	5	272	12	23	0.521739130434783	0.989568686729843	85070	0
3973	3973	69	34.5	58.4264705882353	35.5	37.5	1	3	1	6	2	75	2	2	1	0.865595465820649	65227	0
673	13494	19	4.75	749.666666666667	28	6.33333333333333	0.25	4	1	3	3	19	3	4	0.75	0.9992827655238	82333	0
19269	19269	90	7.5	216.505617977528	61	16.5	1	1	1	16	3	33	2	12	0.166666666666667	0.540951970508931	26913	0
28725	28725	669	23.0689655172414	43.001497005988	12	17.4137931034483	0.96551724137931	3	1	270	5	505	29	29	1	0.917016803026312	139509	0
941	941	26	6.5	37.64	20	7.66666666666667	1	3	1	5	3	23	3	4	0.75	0.999970145843094	112686	0
1096	1096	62	20.6666666666667	17.9672131147541	15	17.6666666666667	1	3	1	13	3	53	3	3	1	0.956991512067774	105175	0
9165	9165	40	4.44444444444444	235	61	14	1	3	1	5	5	28	2	9	0.222222222222222	0.99987331851098	9101	0
17219	28773	242	4.4	119.390041493776	49	5.03703703703704	1	3	1	15	2	136	27	55	0.490909090909091	1	114785	0
744	744	35	3.5	21.8823529411765	15.5	6.7	0.9	3	1	9	4	67	10	10	1	0.835199833759522	123249	0
21213	28711	208	5.07317073170732	138.700483091787	37	5.66666666666667	1	4	2	37	6	102	18	41	0.439024390243902	0.999930017456636	93973	0
14104	14104	146	73	97.2689655172414	43	77	1	3	1	15	2	154	2	2	1	0.999999999999963	60088	0
17814	25895	124	10.3333333333333	210.528455284553	30	13.8	1	3	1	21	5	69	5	12	0.416666666666667	0.997123101314883	88695	0
8062	21949	58	4.83333333333333	385.070175438596	13	6.5	1	10	1	21	4	78	12	12	1	0.999998962185544	99657	0
100	100	3	3	50	50	2	1	9	1	0	1	2	1	1	1	1	13467	0
8591	16762	77	2.56666666666667	220.552631578947	63.5	4.6	1	3	1	8	5	46	10	30	0.333333333333333	0.999999999987318	54602	0
18278	28723	146	48.6666666666667	198.089655172414	52	52.6666666666667	1	4	1	16	2	158	3	3	1	0.9997670012774	53804	0
22085	22085	287	31.8888888888889	77.2202797202797	26.5	37.75	1	3	1	43	3	302	8	9	0.888888888888889	0.998974913504814	90488	0
25154	25154	429	9.97674418604651	58.7710280373832	42.5	24.5	1	3	1	26	5	294	12	43	0.27906976744186	0.676925037718732	41249	0
5695	5695	6	2	1139	597	4	1	3	1	0	1	4	1	3	0.333333333333333	0.677406979630663	93750	0
